FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,goal_diff,home_shot_acc,away_shot_acc,corner_diff,foul_diff
0,3,5,14,0,9,3,4,10,15,1,0,0,0,A,-3,0.0,0.6,-1,-5
2,1,9,4,5,3,1,2,13,14,0,1,0,0,H,1,0.5,0.6,-1,-1
3,4,19,9,10,4,11,1,12,17,1,2,0,0,A,-1,0.5,0.4,10,-5
2,1,11,15,4,4,5,4,9,10,2,4,0,0,H,1,0.3333333333333333,0.25,1,-1
0,1,8,7,2,2,6,3,12,12,3,3,0,0,A,-1,0.2222222222222222,0.25,3,0
2,1,9,6,3,2,4,5,14,13,2,1,0,0,H,1,0.3,0.2857142857142857,-1,1
2,0,13,10,6,1,5,2,13,11,3,2,0,0,H,2,0.42857142857142855,0.09090909090909091,3,2
1,4,11,10,4,8,10,3,9,5,1,1,0,0,A,-3,0.3333333333333333,0.7272727272727273,7,4
0,0,19,4,3,1,5,3,11,5,1,0,0,0,D,0,0.15,0.2,2,6
2,0,15,4,8,2,8,3,12,11,1,2,0,0,H,2,0.5,0.4,5,1
1,3,7,13,1,5,5,2,12,19,4,2,0,0,A,-2,0.125,0.35714285714285715,3,-7
4,1,10,9,6,3,3,6,9,1,0,2,0,0,H,3,0.5454545454545454,0.3,-3,8
4,1,20,6,9,3,6,7,5,14,0,2,0,0,H,3,0.42857142857142855,0.42857142857142855,-1,-9
1,0,16,13,7,3,9,5,10,9,2,2,0,0,H,1,0.4117647058823529,0.21428571428571427,4,1
0,1,12,19,2,5,9,6,17,12,1,0,0,0,A,-1,0.15384615384615385,0.25,3,5
1,0,10,7,3,2,6,3,12,8,2,3,0,0,H,1,0.2727272727272727,0.25,3,4
1,1,7,10,2,3,1,2,19,11,3,1,0,0,D,0,0.25,0.2727272727272727,-1,8
0,3,13,15,2,6,3,8,11,13,0,0,0,0,A,-3,0.14285714285714285,0.375,-5,-2
0,2,8,14,1,3,7,4,11,12,2,0,0,0,A,-2,0.1111111111111111,0.2,3,-1
1,2,15,7,4,3,12,3,5,18,2,1,0,1,A,-1,0.25,0.375,9,-13
2,0,4,22,2,5,0,10,13,19,2,2,0,0,H,2,0.4,0.21739130434782608,-10,-6
1,0,17,7,7,2,8,2,12,17,1,1,0,0,H,1,0.3888888888888889,0.25,6,-5
2,3,14,9,6,7,2,5,14,10,2,0,0,0,A,-1,0.4,0.7,-3,4
0,1,9,15,5,3,2,6,7,6,0,0,0,0,A,-1,0.5,0.1875,-4,1
0,0,25,9,4,2,5,3,9,8,3,0,0,1,D,0,0.15384615384615385,0.2,2,1
3,0,24,11,13,4,10,3,15,6,0,2,0,0,H,3,0.52,0.3333333333333333,7,9
1,0,10,15,4,5,4,7,13,9,2,0,0,0,H,1,0.36363636363636365,0.3125,-3,4
1,1,20,7,9,2,7,4,14,13,2,0,0,0,D,0,0.42857142857142855,0.25,3,1
0,2,12,14,3,7,7,3,9,10,2,2,0,0,A,-2,0.23076923076923078,0.4666666666666667,4,-1
1,1,11,6,3,2,4,3,9,13,2,1,0,0,D,0,0.25,0.2857142857142857,1,-4
